latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.464667,100.384834,343.79,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,296.78,7.46,D,0
14.462808,100.385788,354.51,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.36,11.26,D,0
14.462047,100.38163,335.13,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,298.08,4.15,D,0
14.425358,100.182625,342.16,0.47,0.47,2019-04-01,0609,N,VIIRS,n,1,294.92,4.15,D,0
14.439967,100.188782,344.47,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,293.06,5.58,D,0
15.194878,104.539665,332.96,0.41,0.37,2019-04-01,0609,N,VIIRS,l,1,297.48,2.45,D,0
14.444308,100.187965,339.26,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,296.15,4.99,D,0
15.226665,104.650665,333.52,0.41,0.37,2019-04-01,0609,N,VIIRS,l,1,299.74,2.66,D,0
14.78457,101.976974,346.02,0.54,0.42,2019-04-01,0609,N,VIIRS,n,1,296.87,9.92,D,0
14.469912,100.205322,333.52,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,295.1,2.23,D,0
14.626367,101.051704,340.25,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,299.11,8.98,D,0
14.625688,101.047882,339.49,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,300.09,7,D,0
14.548183,100.565277,339.04,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,296.08,7.36,D,0
14.629464,100.925323,332.33,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,300.79,1.97,D,0
14.568597,100.557259,343.75,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,296.59,5.13,D,0
15.085432,103.305168,338.37,0.46,0.39,2019-04-01,0609,N,VIIRS,l,1,303.39,8.91,D,0
15.080452,103.275597,335.48,0.46,0.39,2019-04-01,0609,N,VIIRS,l,1,302.87,9,D,0
14.703693,101.091461,336.59,0.4,0.45,2019-04-01,0609,N,VIIRS,n,1,292.47,7.2,D,0
14.62852,100.604538,351.07,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,299.1,12.48,D,0
14.63273,100.60376,367,0.43,0.46,2019-04-01,0609,N,VIIRS,h,1,297.83,12.48,D,0
14.672701,100.801125,330.47,0.42,0.45,2019-04-01,0609,N,VIIRS,l,1,300.52,4.24,D,2
15.407572,105.130356,330.21,0.39,0.37,2019-04-01,0609,N,VIIRS,l,1,298.76,2.16,D,0
15.321637,104.568443,347.9,0.41,0.37,2019-04-01,0609,N,VIIRS,l,1,301.45,9.42,D,3
