latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
9.11333,117.93841,337.1,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,300.6,8.2,D
9.13334,118.00415,339.7,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,302.4,2.4,D
9.13667,118.00365,333.7,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,301.7,2.2,D
9.13631,117.97847,334.5,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,303.5,2.8,D
9.32125,118.40435,344.9,0.39,0.37,2020-03-04,05:24,N,nominal,1.0NRT,306.8,6.3,D
9.48802,118.56678,342.4,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,303.7,7.1,D
9.47352,118.46912,334.9,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,303.6,2.4,D
9.47914,118.46071,335.6,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,301.7,3.8,D
9.47924,118.43839,337.6,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,302.5,5.3,D
9.48529,118.45593,336.3,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,302.2,4.6,D
9.49258,118.45866,330.5,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,300.5,2.1,D
9.50422,118.4676,343.3,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,299.2,12.8,D
-11.06656,126.61441,345.2,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,295.1,48.5,D
-2.4389,133.14079,344.7,0.7,0.75,2020-03-04,05:24,N,nominal,1.0NRT,283,55.8,D
-2.43778,133.14738,367,0.7,0.75,2020-03-04,05:24,N,low,1.0NRT,282.7,57.2,D
5.08501,119.78503,340.1,0.4,0.37,2020-03-04,05:24,N,nominal,1.0NRT,286,6.7,D
6.29666,125.21119,332.2,0.55,0.51,2020-03-04,05:24,N,nominal,1.0NRT,292.5,3,D
6.30968,124.59877,353.7,0.5,0.49,2020-03-04,05:24,N,nominal,1.0NRT,296.1,25.8,D
6.37617,124.61177,330,0.5,0.49,2020-03-04,05:24,N,nominal,1.0NRT,297.4,5.2,D
6.35119,124.405,330.1,0.49,0.48,2020-03-04,05:24,N,nominal,1.0NRT,294.6,2.3,D
6.47722,125.15368,330.5,0.55,0.51,2020-03-04,05:24,N,nominal,1.0NRT,289.2,4.3,D
6.4435,124.42639,331.5,0.49,0.49,2020-03-04,05:24,N,nominal,1.0NRT,297.6,3.1,D
14.4362,107.82226,330.6,0.61,0.54,2020-03-04,05:30,N,nominal,1.0NRT,301.8,2.1,D
10.28826,105.04831,330.9,0.56,0.68,2020-03-04,05:30,N,nominal,1.0NRT,290.3,6.1,D
10.72221,107.06733,338,0.4,0.6,2020-03-04,05:30,N,nominal,1.0NRT,293.8,5.1,D
10.41751,105.09157,330.7,0.55,0.68,2020-03-04,05:30,N,nominal,1.0NRT,289,3.4,D
10.66183,106.10355,341.8,0.47,0.64,2020-03-04,05:30,N,nominal,1.0NRT,290.9,5.4,D
11.046,108.06631,334.6,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,301.4,3.1,D
13.10093,120.90247,338.8,0.54,0.42,2020-03-04,05:30,N,nominal,1.0NRT,307.3,7.6,D
10.65953,106.10436,337.9,0.47,0.64,2020-03-04,05:30,N,nominal,1.0NRT,291.2,5.4,D
11.04688,108.06441,334.6,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,300.8,3,D
10.50363,105.21702,332.5,0.54,0.68,2020-03-04,05:30,N,nominal,1.0NRT,290.5,5.8,D
13.12702,120.80161,330,0.54,0.42,2020-03-04,05:30,N,low,1.0NRT,301.4,5.7,D
10.66763,105.83017,330.2,0.49,0.65,2020-03-04,05:30,N,nominal,1.0NRT,292.3,3.5,D
13.1302,120.79593,341.9,0.53,0.42,2020-03-04,05:30,N,nominal,1.0NRT,302,9.7,D
13.12612,120.73683,333.5,0.53,0.42,2020-03-04,05:30,N,nominal,1.0NRT,301.2,2.8,D
10.74127,105.99009,354.5,0.47,0.64,2020-03-04,05:30,N,nominal,1.0NRT,292.9,8.9,D
10.72804,105.88781,331.4,0.48,0.65,2020-03-04,05:30,N,nominal,1.0NRT,292.7,4.1,D
10.69974,105.60653,334.3,0.5,0.66,2020-03-04,05:30,N,nominal,1.0NRT,292.6,5.2,D
10.73921,105.99123,340.1,0.47,0.64,2020-03-04,05:30,N,nominal,1.0NRT,292.1,8.6,D
10.72527,105.88924,339.1,0.48,0.65,2020-03-04,05:30,N,nominal,1.0NRT,293.1,4.5,D
13.18368,120.65629,333.9,0.53,0.42,2020-03-04,05:30,N,nominal,1.0NRT,299.1,1.4,D
10.70109,105.6077,333.2,0.5,0.66,2020-03-04,05:30,N,nominal,1.0NRT,292.8,4.4,D
11.182,108.00861,350.6,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,298.3,3.7,D
10.73222,105.60654,344,0.5,0.66,2020-03-04,05:30,N,nominal,1.0NRT,291.4,3.9,D
11.34898,108.8348,343.3,0.6,0.53,2020-03-04,05:30,N,nominal,1.0NRT,301.1,12.1,D
11.35402,108.83497,333.3,0.6,0.53,2020-03-04,05:30,N,nominal,1.0NRT,298.5,5,D
13.58205,123.32624,330.6,0.52,0.5,2020-03-04,05:30,N,nominal,1.0NRT,297.3,3.2,D
13.60271,123.45248,331.9,0.53,0.5,2020-03-04,05:30,N,nominal,1.0NRT,298.3,3.4,D
11.23785,108.05247,330.2,0.34,0.56,2020-03-04,05:30,N,low,1.0NRT,300.7,3.4,D
13.81311,107.35336,332.6,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,296.5,2,D
13.85729,107.52544,367,0.33,0.55,2020-03-04,05:30,N,high,1.0NRT,297.8,6.8,D
13.86433,107.50762,367,0.33,0.55,2020-03-04,05:30,N,high,1.0NRT,296.9,5.8,D
13.87867,107.52751,354.4,0.33,0.55,2020-03-04,05:30,N,nominal,1.0NRT,295.7,8.2,D
13.87811,107.52459,355.7,0.33,0.55,2020-03-04,05:30,N,nominal,1.0NRT,297.7,8.2,D
13.55925,105.81597,339.8,0.43,0.62,2020-03-04,05:30,N,nominal,1.0NRT,293.7,7.8,D
13.86913,107.3685,343.4,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,295.4,3.7,D
13.7472,106.73907,333.3,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298.1,2.7,D
13.74653,106.73563,330.5,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,295.2,2.7,D
13.85793,107.28259,339.8,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,296.1,4.3,D
13.85733,107.2795,340.3,0.34,0.56,2020-03-04,05:30,N,nominal,1.0NRT,297.7,4.3,D
13.7612,106.78252,332.5,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,300.1,1.6,D
13.59505,105.90726,331.9,0.42,0.61,2020-03-04,05:30,N,nominal,1.0NRT,293.5,3.6,D
14.07804,108.36415,347.7,0.57,0.52,2020-03-04,05:30,N,nominal,1.0NRT,294.8,9.2,D
13.85661,107.16409,367,0.35,0.57,2020-03-04,05:30,N,high,1.0NRT,298.7,7.4,D
13.76719,106.69924,367,0.37,0.58,2020-03-04,05:30,N,high,1.0NRT,303,21.7,D
13.90892,107.43839,354.5,0.33,0.55,2020-03-04,05:30,N,nominal,1.0NRT,296.2,5.9,D
13.76648,106.69559,334.7,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,293.8,21.7,D
13.78318,106.72462,367,0.37,0.58,2020-03-04,05:30,N,high,1.0NRT,297.6,20.9,D
13.78383,106.72803,350.8,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,295.9,8.7,D
13.78252,106.7212,344.1,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298,20.9,D
13.7885,106.7235,367,0.37,0.58,2020-03-04,05:30,N,high,1.0NRT,299.3,42.6,D
13.78916,106.72691,337.5,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,296.6,17.7,D
13.78784,106.72007,333.6,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,295.2,42.6,D
